,Equipo,Tabla,n_sim,Posición
625,Unión Española,Ponderada,18,3
626,Curicó Unido,Absoluta,18,6
627,Curicó Unido,Ponderada,18,11
628,Colo-Colo,Absoluta,18,16
629,Colo-Colo,Ponderada,18,8
630,Unión La Calera,Absoluta,18,1
631,Unión La Calera,Ponderada,18,2
632,Universidad de Concepción,Absoluta,18,13
633,Universidad de Concepción,Ponderada,18,18
634,Palestino,Absoluta,18,7
635,Palestino,Ponderada,18,4
636,Universidad de Chile,Absoluta,18,9
637,Universidad de Chile,Ponderada,18,16
638,Cobresal,Absoluta,18,15
639,Cobresal,Ponderada,18,15
640,Universidad Católica,Absoluta,18,2
641,Universidad Católica,Ponderada,18,1
642,Iquique,Absoluta,18,18
643,Iquique,Ponderada,18,17
644,La Serena,Absoluta,18,14
645,La Serena,Ponderada,18,12
646,Coquimbo Unido,Absoluta,18,17
647,Coquimbo Unido,Ponderada,18,9
648,Everton,Absoluta,19,11
649,Everton,Ponderada,19,14
650,O'Higgins,Absoluta,19,9
651,O'Higgins,Ponderada,19,8
652,Antofagasta,Absoluta,19,4
653,Antofagasta,Ponderada,19,12
654,Audax Italiano,Absoluta,19,14
655,Audax Italiano,Ponderada,19,9
656,Santiago Wanderers,Absoluta,19,15
657,Santiago Wanderers,Ponderada,19,11
658,Huachipato,Absoluta,19,6
659,Huachipato,Ponderada,19,7
660,Unión Española,Absoluta,19,3
661,Unión Española,Ponderada,19,3
662,Curicó Unido,Absoluta,19,5
663,Curicó Unido,Ponderada,19,13
664,Colo-Colo,Absoluta,19,17
665,Colo-Colo,Ponderada,19,6
666,Unión La Calera,Absoluta,19,2
667,Unión La Calera,Ponderada,19,2
668,Universidad de Concepción,Absoluta,19,12
669,Universidad de Concepción,Ponderada,19,17
670,Palestino,Absoluta,19,8
671,Palestino,Ponderada,19,4
672,Universidad de Chile,Absoluta,19,7
673,Universidad de Chile,Ponderada,19,16
674,Cobresal,Absoluta,19,10
675,Cobresal,Ponderada,19,10
676,Universidad Católica,Absoluta,19,1
677,Universidad Católica,Ponderada,19,1
678,Iquique,Absoluta,19,18
679,Iquique,Ponderada,19,18
680,La Serena,Absoluta,19,16
681,La Serena,Ponderada,19,15
682,Coquimbo Unido,Absoluta,19,13
683,Coquimbo Unido,Ponderada,19,5
684,Everton,Absoluta,20,9
685,Everton,Ponderada,20,14
686,O'Higgins,Absoluta,20,10
687,O'Higgins,Ponderada,20,8
688,Antofagasta,Absoluta,20,5
689,Antofagasta,Ponderada,20,12
690,Audax Italiano,Absoluta,20,14
691,Audax Italiano,Ponderada,20,10
692,Santiago Wanderers,Absoluta,20,11
693,Santiago Wanderers,Ponderada,20,7
694,Huachipato,Absoluta,20,6
695,Huachipato,Ponderada,20,5
696,Unión Española,Absoluta,20,3
697,Unión Española,Ponderada,20,3
698,Curicó Unido,Absoluta,20,4
699,Curicó Unido,Ponderada,20,9
700,Colo-Colo,Absoluta,20,16
701,Colo-Colo,Ponderada,20,6
702,Unión La Calera,Absoluta,20,2
703,Unión La Calera,Ponderada,20,2
704,Universidad de Concepción,Absoluta,20,13
705,Universidad de Concepción,Ponderada,20,18
706,Palestino,Absoluta,20,7
707,Palestino,Ponderada,20,4
708,Universidad de Chile,Absoluta,20,8
709,Universidad de Chile,Ponderada,20,15
710,Cobresal,Absoluta,20,12
711,Cobresal,Ponderada,20,13
712,Universidad Católica,Absoluta,20,1
713,Universidad Católica,Ponderada,20,1
714,Iquique,Absoluta,20,15
715,Iquique,Ponderada,20,17
716,La Serena,Absoluta,20,17
717,La Serena,Ponderada,20,16
718,Coquimbo Unido,Absoluta,20,18
719,Coquimbo Unido,Ponderada,20,11
720,Everton,Absoluta,21,10
721,Everton,Ponderada,21,13
722,O'Higgins,Absoluta,21,9
