,n_sim,PenPon,AntAbs,Des1,Des2,PenAbs
1033,3032,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1034,3038,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1035,3044,Iquique,Audax Italiano,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
1036,3047,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1037,3048,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
1038,3060,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1039,3061,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1040,3064,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1041,3065,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1042,3066,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
1043,3070,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1044,3072,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1045,3078,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1046,3080,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1047,3081,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1048,3084,Iquique,Iquique,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
1049,3086,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1050,3094,Universidad de Concepción,Coquimbo Unido,Audax Italiano,Iquique,Iquique
1051,3097,Universidad de Concepción,Everton,Coquimbo Unido,Iquique,Iquique
1052,3104,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1053,3106,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1054,3107,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
1055,3108,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1056,3109,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1057,3113,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
1058,3117,Universidad de Concepción,La Serena,Colo-Colo,Iquique,Iquique
1059,3121,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1060,3124,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1061,3125,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1062,3126,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1063,3133,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1064,3134,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1065,3136,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
1066,3140,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1067,3141,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1068,3143,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1069,3144,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1070,3146,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
1071,3148,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1072,3150,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1073,3152,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
1074,3153,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1075,3154,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
1076,3155,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1077,3165,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1078,3169,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1079,3170,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
1080,3171,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
1081,3174,Universidad de Concepción,La Serena,Colo-Colo,Iquique,Iquique
1082,3175,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1083,3176,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1084,3177,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1085,3180,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
1086,3181,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1087,3182,Universidad de Concepción,La Serena,Audax Italiano,Iquique,Iquique
1088,3183,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1089,3186,Iquique,Coquimbo Unido,Colo-Colo,Universidad de Concepción,Universidad de Concepción
1090,3189,Universidad de Concepción,La Serena,Colo-Colo,Iquique,Iquique
1091,3191,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1092,3195,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1093,3196,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1094,3200,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1095,3201,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1096,3206,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1097,3207,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1098,3209,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
1099,3210,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1100,3212,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1101,3215,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1102,3216,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1103,3221,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1104,3226,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
1105,3229,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1106,3244,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1107,3252,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1108,3254,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
1109,3257,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1110,3263,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1111,3274,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1112,3275,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1113,3276,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1114,3281,Universidad de Concepción,Colo-Colo,La Serena,Iquique,Iquique
1115,3283,Iquique,Iquique,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
1116,3284,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1117,3285,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1118,3288,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1119,3289,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1120,3297,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1121,3299,Universidad de Chile,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1122,3300,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1123,3301,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1124,3303,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1125,3304,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
