,n_sim,Equipo,Desc,Motivo
340,114,Universidad de Concepción,2,Último Ponderada
341,114,Iquique,3,Partido Pen Abs vs Pen Pon
342,115,Coquimbo Unido,1,Último Absoluta
343,115,Iquique,2,Último Ponderada
344,115,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
345,116,Coquimbo Unido,1,Último Absoluta
346,116,Universidad de Concepción,2,Último Ponderada
347,116,Iquique,3,Partido Pen Abs vs Pen Pon
348,117,Coquimbo Unido,1,Último Absoluta
349,117,Iquique,2,Último Ponderada
350,117,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
351,118,Coquimbo Unido,1,Último Absoluta
352,118,Iquique,2,Último Ponderada
353,118,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
354,119,Coquimbo Unido,1,Último Absoluta
355,119,Iquique,2,Último Ponderada
356,119,Colo-Colo,3,Partido Ant Abs vs Pen Pon
357,120,Coquimbo Unido,1,Último Absoluta
358,120,Universidad de Concepción,2,Último Ponderada
359,120,Iquique,3,Partido Pen Abs vs Pen Pon
360,121,Coquimbo Unido,1,Último Absoluta
361,121,Universidad de Concepción,2,Último Ponderada
362,121,Iquique,3,Partido Pen Abs vs Pen Pon
363,122,Coquimbo Unido,1,Último Absoluta
364,122,Universidad de Concepción,2,Último Ponderada
365,122,Iquique,3,Partido Pen Abs vs Pen Pon
366,123,Iquique,1,Último Absoluta
367,123,Universidad de Concepción,2,Penúltimo Ponderada
368,123,La Serena,3,Partido Pen Abs vs Ant Pon
369,124,Coquimbo Unido,1,Último Absoluta
370,124,Iquique,2,Último Ponderada
371,124,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
372,125,Coquimbo Unido,1,Último Absoluta
373,125,Universidad de Concepción,2,Último Ponderada
374,125,Iquique,3,Partido Pen Abs vs Pen Pon
375,126,Coquimbo Unido,1,Último Absoluta
376,126,Iquique,2,Último Ponderada
377,126,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
378,127,Coquimbo Unido,1,Último Absoluta
379,127,Universidad de Concepción,2,Último Ponderada
380,127,Iquique,3,Partido Pen Abs vs Pen Pon
381,128,Coquimbo Unido,1,Último Absoluta
382,128,Universidad de Concepción,2,Último Ponderada
383,128,Iquique,3,Partido Pen Abs vs Pen Pon
384,129,Coquimbo Unido,1,Último Absoluta
385,129,Universidad de Concepción,2,Último Ponderada
386,129,Iquique,3,Partido Pen Abs vs Pen Pon
387,130,Coquimbo Unido,1,Último Absoluta
388,130,Universidad de Concepción,2,Último Ponderada
389,130,Iquique,3,Partido Pen Abs vs Pen Pon
390,131,Coquimbo Unido,1,Último Absoluta
391,131,Iquique,2,Último Ponderada
392,131,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
393,132,Coquimbo Unido,1,Último Absoluta
394,132,Iquique,2,Último Ponderada
395,132,Colo-Colo,3,Partido Ant Abs vs Pen Pon
396,133,Coquimbo Unido,1,Último Absoluta
397,133,Iquique,2,Último Ponderada
398,133,Colo-Colo,3,Partido Ant Abs vs Pen Pon
399,134,Coquimbo Unido,1,Último Absoluta
400,134,Iquique,2,Último Ponderada
401,134,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
402,135,Coquimbo Unido,1,Último Absoluta
403,135,Universidad de Concepción,2,Último Ponderada
404,135,Iquique,3,Partido Pen Abs vs Pen Pon
405,136,Coquimbo Unido,1,Último Absoluta
406,136,Universidad de Concepción,2,Último Ponderada
407,136,Iquique,3,Partido Pen Abs vs Pen Pon
408,137,Coquimbo Unido,1,Último Absoluta
409,137,Iquique,2,Último Ponderada
